idRegistration,startTime,idValueType,value,componentCode,localityCode,nazev,district,lat,lon
1648286, 2026-03-06T13:00:00Z,148,2.0,INDX,BBDN,Brno-Dětská nemocnice,Brno-město,49.20272445678711,16.616287231445312
1648295, 2026-03-06T13:00:00Z,148,0.0,INDX,ZSNV,Štítná n.Vláří,Zlín,49.04781723022461,18.007827758789062
1648316, 2026-03-06T13:00:00Z,148,2.0,INDX,ZTNV,Těšnovice,Kroměříž,49.25939178466797,17.410560607910156
1648319, 2026-03-06T13:00:00Z,148,2.0,INDX,TCTN,Český Těšín,Karviná,49.74895858764648,18.60972595214844
1648325, 2026-03-06T13:00:00Z,148,1.0,INDX,BMIS,Mikulov-Sedlec,Břeclav,48.79176712036133,16.724496841430664
1648334, 2026-03-06T13:00:00Z,148,3.0,INDX,AREP,Praha 1-n. Republiky,Praha 1,50.08806610107422,14.42922019958496
1648352, 2026-03-06T13:00:00Z,148,2.0,INDX,MOLJ,Olomouc-Hejčín,Olomouc,49.60146331787109,17.238073348999023
1648355, 2026-03-06T13:00:00Z,148,2.0,INDX,ASTO,Praha 5-Stodůlky,Praha 5,50.0461311340332,14.331413269042969
1648358, 2026-03-06T13:00:00Z,148,2.0,INDX,SKLM,Kladno-střed města,Kladno,50.14385986328125,14.101783752441406
1648361, 2026-03-06T13:00:00Z,148,2.0,INDX,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
1648370, 2026-03-06T13:00:00Z,148,2.0,INDX,AVYN,Praha 9-Vysočany,Praha 9,50.11108016967773,14.503095626831056
1648373, 2026-03-06T13:00:00Z,148,2.0,INDX,THAR,Havířov,Karviná,49.790977478027344,18.40683555603028
1648376, 2026-03-06T13:00:00Z,148,2.0,INDX,ALIB,Praha 4-Libuš,Praha 4,50.00730514526367,14.44593334197998
1648379, 2026-03-06T13:00:00Z,148,1.0,INDX,ASUC,Praha 6-Suchdol,Praha 6,50.12652969360352,14.384638786315918
1648385, 2026-03-06T13:00:00Z,148,2.0,INDX,EMTP,Moravská Třebová - Piaristická.,Svitavy,49.75899505615234,16.66672134399414
1648391, 2026-03-06T13:00:00Z,148,2.0,INDX,UTPM,Teplice ,Teplice,50.64527893066406,13.85124969482422
1648406, 2026-03-06T13:00:00Z,148,2.0,INDX,TRYC,Rychvald,Karviná,49.87166976928711,18.377254486083984
1648409, 2026-03-06T13:00:00Z,148,2.0,INDX,TVER,Věřňovice-Dolní Lutyně,Karviná,49.92467880249024,18.42287254333496
1648412, 2026-03-06T13:00:00Z,148,2.0,INDX,USTE,Štětí,Litoměřice,50.45415496826172,14.374162673950195
1648424, 2026-03-06T13:00:00Z,148,2.0,INDX,USNZ,Sněžník,Děčín,50.78944396972656,14.086798667907717
1648430, 2026-03-06T13:00:00Z,148,3.0,INDX,ULOM,Lom,Most,50.58576583862305,13.673418045043944
1648433, 2026-03-06T13:00:00Z,148,2.0,INDX,ABRE,Praha 6-Břevnov,Praha 6,50.08438491821289,14.38011646270752
1648442, 2026-03-06T13:00:00Z,148,1.0,INDX,PPLV,Plzeň-Doubravka,Plzeň-město,49.76861572265625,13.423380851745604
1648451, 2026-03-06T13:00:00Z,148,1.0,INDX,SKHO,Kutná Hora-Orebitská,Kutná Hora,49.95047378540039,15.260360717773438
1648454, 2026-03-06T13:00:00Z,148,1.0,INDX,MPRR,Přerov,Přerov,49.451656341552734,17.454158782958984
1648457, 2026-03-06T13:00:00Z,148,2.0,INDX,AKAL,Praha 8-Karlín,Praha 8,50.09423828125,14.442049026489258
1648463, 2026-03-06T13:00:00Z,148,2.0,INDX,BKUC,Kuchařovice,Znojmo,48.88135528564453,16.085817337036133
1648466, 2026-03-06T13:00:00Z,148,1.0,INDX,CPRA,Prachatice,Prachatice,49.01608657836914,14.000444412231444
1648478, 2026-03-06T13:00:00Z,148,1.0,INDX,SROR,Rožďalovice-Ruská,Nymburk,50.30198287963867,15.178302764892578
1648502, 2026-03-06T13:00:00Z,148,1.0,INDX,URVH,Rudolice v Horách,Most,50.579833984375,13.419506072998049
1648511, 2026-03-06T13:00:00Z,148,0.0,INDX,SONR,Ondřejov,Praha-východ,49.91351318359375,14.782625198364258
1648514, 2026-03-06T13:00:00Z,148,1.0,INDX,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
1648517, 2026-03-06T13:00:00Z,148,0.0,INDX,LFRT,Frýdlant,Liberec,50.940650939941406,15.069816589355469
1648520, 2026-03-06T13:00:00Z,148,2.0,INDX,BZNO,Znojmo,Znojmo,48.84295654296875,16.06012725830078
1648568, 2026-03-06T13:00:00Z,148,1.0,INDX,TOPO,Ostrava-Poruba ČHMÚ,Ostrava-město,49.825294494628906,18.15927505493164
1648571, 2026-03-06T13:00:00Z,148,1.0,INDX,JTRE,Třebíč,Třebíč,49.22343826293945,15.865777969360352
1648574, 2026-03-06T13:00:00Z,148,3.0,INDX,ALEG,Praha 2-Legerova (hot spot),Praha 2,50.0723876953125,14.430672645568848
1648586, 2026-03-06T13:00:00Z,148,1.0,INDX,CCHU,Churáňov,Prachatice,49.06843566894531,13.614801406860352
1648592, 2026-03-06T13:00:00Z,148,1.0,INDX,ZVMZ,Valašské Meziříčí,Vsetín,49.4720573425293,17.966976165771484
1648595, 2026-03-06T13:00:00Z,148,1.0,INDX,UCHM,Chomutov,Chomutov,50.467529296875,13.41269588470459
1648598, 2026-03-06T13:00:00Z,148,3.0,INDX,AVRS,Praha 10-Vršovice,Praha 10,50.0664291381836,14.446151733398438
1648610, 2026-03-06T13:00:00Z,148,1.0,INDX,HKRY,Krkonoše-Rýchory,Trutnov,50.660438537597656,15.850090026855469
1648616, 2026-03-06T13:00:00Z,148,1.0,INDX,BBNI,Brno-Líšeň,Brno-město,49.21321105957031,16.678024291992188
1648619, 2026-03-06T13:00:00Z,148,1.0,INDX,HHKB,Hradec Králové-Brněnská,Hradec Králové,50.19536209106445,15.846376419067385
1648634, 2026-03-06T13:00:00Z,148,1.0,INDX,EPAU,Pardubice Dukla,Pardubice,50.0240364074707,15.763548851013184
1648646, 2026-03-06T13:00:00Z,148,2.0,INDX,UDCM,Děčín,Děčín,50.77415084838867,14.218793869018556
1648664, 2026-03-06T13:00:00Z,148,1.0,INDX,HPLO,Polom,Rychnov nad Kněžnou,50.350563049316406,16.32272720336914
1648673, 2026-03-06T13:00:00Z,148,0.0,INDX,HHKO,Hradec Králové-observatoř,Hradec Králové,50.17763137817383,15.838390350341797
1648685, 2026-03-06T13:00:00Z,148,1.0,INDX,CHVO,Hojná Voda,České Budějovice,48.72419738769531,14.723381996154783
1648691, 2026-03-06T13:00:00Z,148,4.0,INDX,TOFF,Ostrava-Fifejdy,Ostrava-město,49.83918762207031,18.26368904113769
1648694, 2026-03-06T13:00:00Z,148,2.0,INDX,TKAR,Karviná,Karviná,49.86379623413086,18.55145263671875
1648700, 2026-03-06T13:00:00Z,148,4.0,INDX,TOPR,Ostrava-Přívoz,Ostrava-město,49.856258392333984,18.26974105834961
1648703, 2026-03-06T13:00:00Z,148,2.0,INDX,AKOB,Praha 8-Kobylisy,Praha 8,50.122188568115234,14.467577934265137
1648706, 2026-03-06T13:00:00Z,148,1.0,INDX,MBEL,Bělotín,Přerov,49.58708190917969,17.80422019958496
1648715, 2026-03-06T13:00:00Z,148,1.0,INDX,ESVR,Svratouch,Chrudim,49.735084533691406,16.034196853637695
1648733, 2026-03-06T13:00:00Z,148,1.0,INDX,ACHO,Praha 4-Chodov,Praha 4,50.03017044067383,14.517450332641602
1648736, 2026-03-06T13:00:00Z,148,0.0,INDX,EPAO,Pardubice-Rosice,Pardubice,50.04219818115234,15.73941421508789
1648760, 2026-03-06T13:00:00Z,148,2.0,INDX,UMOM,Most,Most,50.5103645324707,13.645272254943848
1648763, 2026-03-06T13:00:00Z,148,1.0,INDX,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
1648781, 2026-03-06T13:00:00Z,148,2.0,INDX,PKUJ,Kamenný Újezd,Rokycany,49.72200012207031,13.618537902832031
1648790, 2026-03-06T13:00:00Z,148,1.0,INDX,HTRT,Trutnov-Tkalcovská,Trutnov,50.565879821777344,15.903926849365234
1648793, 2026-03-06T13:00:00Z,148,2.0,INDX,SBER,Beroun,Beroun,49.95792770385742,14.058300018310549
1648814, 2026-03-06T13:00:00Z,148,1.0,INDX,TSTD,Studénka,Nový Jičín,49.7209358215332,18.089305877685547
1648820, 2026-03-06T13:00:00Z,148,1.0,INDX,LLIL,Liberec-Rochlice,Liberec,50.75510025024414,15.06996726989746
1648829, 2026-03-06T13:00:00Z,148,3.0,INDX,ARIE,Praha 2-Riegrovy sady,Praha 2,50.08148193359375,14.442691802978516
1648835, 2026-03-06T13:00:00Z,148,0.0,INDX,CKOC,Kocelovice,Strakonice,49.4672737121582,13.83745574951172
1648838, 2026-03-06T13:00:00Z,148,1.0,INDX,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
1648856, 2026-03-06T13:00:00Z,148,2.0,INDX,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
1648862, 2026-03-06T13:00:00Z,148,1.0,INDX,UTUS,Tušimice,Chomutov,50.3765869140625,13.327622413635254
1648892, 2026-03-06T13:00:00Z,148,1.0,INDX,TFMI,Frýdek-Místek,Frýdek-Místek,49.67179107666016,18.35107040405273
1648895, 2026-03-06T13:00:00Z,148,1.0,INDX,KPRB,Přebuz,Sokolov,50.37247848510742,12.61538028717041
1648898, 2026-03-06T13:00:00Z,148,0.0,INDX,UDOK,Doksany,Litoměřice,50.45885467529297,14.170162200927734
1648907, 2026-03-06T13:00:00Z,148,1.0,INDX,MPST,Prostějov,Prostějov,49.46785736083984,17.11472511291504
1648928, 2026-03-06T13:00:00Z,148,0.0,INDX,JKMY,Kostelní Myslová,Jihlava,49.15915298461914,15.439047813415527
1648931, 2026-03-06T13:00:00Z,148,2.0,INDX,UULD,Ústí n.L.-Všebořická (hot spot),Ústí nad Labem,50.68312454223633,13.997873306274414
1648937, 2026-03-06T13:00:00Z,148,2.0,INDX,ZUHR,Uherské Hradiště,Uherské Hradiště,49.06795120239258,17.466848373413086
1648943, 2026-03-06T13:00:00Z,148,1.0,INDX,MJES,Jeseník-lázně,Jeseník,50.24224090576172,17.1901798248291
1648955, 2026-03-06T13:00:00Z,148,2.0,INDX,PPRM,Přimda,Tachov,49.66958236694336,12.677884101867676
1648958, 2026-03-06T13:00:00Z,148,1.0,INDX,SMBO,Mladá Boleslav,Mladá Boleslav,50.42864608764648,14.913859367370604
1648964, 2026-03-06T13:00:00Z,148,1.0,INDX,LSOU,Souš,Jablonec nad Nisou,50.78964614868164,15.319683074951172
1648970, 2026-03-06T13:00:00Z,148,3.0,INDX,APRU,Praha 10-Průmyslová,Praha 10,50.06229782104492,14.537819862365724
1648973, 2026-03-06T13:00:00Z,148,2.0,INDX,SPBR,Příbram-Březové Hory,Příbram,49.67631530761719,13.991222381591797
1648976, 2026-03-06T13:00:00Z,148,1.0,INDX,LCLM,Česká Lípa,Česká Lípa,50.69804382324219,14.537344932556152
1648985, 2026-03-06T13:00:00Z,148,3.0,INDX,TOCB,Ostrava-Českobratrská (hot spot),Ostrava-město,49.83984756469727,18.28997611999512
1648997, 2026-03-06T13:00:00Z,148,0.0,INDX,TCER,Červená hora,Opava,49.77714157104492,17.541946411132812
1649018, 2026-03-06T13:00:00Z,148,1.0,INDX,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
1649021, 2026-03-06T13:00:00Z,148,2.0,INDX,UULM,Ústí n.L.-město,Ústí nad Labem,50.661094665527344,14.043063163757324
1649030, 2026-03-06T13:00:00Z,148,1.0,INDX,TTRO,Třinec-Kosmos,Frýdek-Místek,49.668113708496094,18.67779922485352
1649039, 2026-03-06T13:00:00Z,148,2.0,INDX,SKLS,Kladno-Švermov,Kladno,50.16741180419922,14.10604763031006
1802207, 2026-03-06T13:00:00Z,148,2.0,INDX,CTAC,Tábor,Tábor,49.405059814453125,14.684839248657228
